fecha,nombre_fondo,valor_unidad
2016-03-16,Fondo de Pensiones Mayor Riesgo,34531.74
2016-03-16,Fondo de Pensiones Retiro Programado,37149.24
2016-03-17,Fondo de Cesantias Largo Plazo,27696.94
2016-03-17,Fondo de Cesantias Corto Plazo,26822.79
2016-03-17,Fondo de Pensiones Moderado,35230.73
2016-03-17,Fondo de Pensiones Conservador,36593.69
2016-03-17,Fondo de Pensiones Mayor Riesgo,34485.27
2016-03-17,Fondo de Pensiones Retiro Programado,37252.04
2016-03-18,Fondo de Cesantias Largo Plazo,27792.15
2016-03-18,Fondo de Cesantias Corto Plazo,26828.21
2016-03-18,Fondo de Pensiones Moderado,35347.84
2016-03-18,Fondo de Pensiones Conservador,36673.14
2016-03-18,Fondo de Pensiones Mayor Riesgo,34610.33
2016-03-18,Fondo de Pensiones Retiro Programado,37345.02
2016-03-19,Fondo de Cesantias Largo Plazo,27795.82
2016-03-19,Fondo de Cesantias Corto Plazo,26832.66
2016-03-19,Fondo de Pensiones Moderado,35354.0
2016-03-19,Fondo de Pensiones Conservador,36683.53
2016-03-19,Fondo de Pensiones Mayor Riesgo,34614.47
2016-03-19,Fondo de Pensiones Retiro Programado,37358.37
